path,type,size,sha256,tracked_untracked,inside_outside_repository,purpose,producer_stage,promotion_status,git_publication_disposition
MASTER_PROMPT.md,.md,4619,7321fb0d6a7ae4f5609ad2721067ef5f7f996d117806b771161a8f37b05a8fa9,tracked,inside_repository,campaign_master_prompt,WP0,ACCEPTED,COMMIT_DIRECTLY
baseline_record/BASELINE_CANDIDATE.json,.json,2581,4b8a28ae2294890ff872a592cd990cde5ceebe2270712a6ef267272d8f798153,external,outside_repository,baseline_authority,WP0,ACCEPTED,COMMIT_DIRECTLY
work_package_01_coordinate_truth/coordinate_inventory.json,.json,5003,d435de987c8cf222c4b08b78648d7dc465d19947e16d918a5624c5fff614b444,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_DIRECTLY
work_package_01_coordinate_truth/PHASE_1A_DIAGNOSIS.md,.md,4468,9aa6c224c0e976381430e6c3c6258572c86f84ac56213c72a373d2d31b1b84df,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_DIRECTLY
work_package_01_coordinate_truth/candidates/candidate_actual_reprojection.xodr,.xodr,82639963,3d55a86e47192e6d8558820d8acfd553eb7f665cf9726e67853f9f1a060bc702,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_VIA_GIT_LFS
work_package_01_coordinate_truth/candidates/candidate_alignment_transform_only.xodr,.xodr,82318919,c8419f8c79b2c64bf1025371f1651b7f41e13e47cdfe1107857e16b6c5429ae4,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_VIA_GIT_LFS
work_package_01_coordinate_truth/candidates/candidate_correct_georeference.xodr,.xodr,82319014,f31563ebff32a5320618f21c10a01be0a9cc4743bdc09d152f2c94084881c4f0,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_VIA_GIT_LFS
work_package_01_coordinate_truth/candidates/candidate_metadata_only.xodr,.xodr,82318945,45a8693f33d7dcae6ea77969672ed08249b7b06076dc93614caab6340d190b34,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_VIA_GIT_LFS
work_package_01_coordinate_truth/candidates/coordinate_tests.json,.json,1219,d10d79abd79b9bcf932adb14ad75a6ad0f6dec4338804ba7f8f18e3c62203469,external,outside_repository,coordinate_evidence,WP1,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/candidate_connectivity_repaired.xodr,.xodr,89206190,c3dc29d3f570d929cbe664961446ea76fd3b8c74b0f4668ade99a67995a7ca43,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_VIA_GIT_LFS
work_package_02_connectivity/compute_semantic_hash.py,.py,2922,23959ee472daf8eb959b62f0008ab4384783be42ca0d9872d51a71f705816ebc,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/connectivity_diagnostics.json,.json,9932,5d84c8e70049b05715b761964ea92cbd5de33e81758cd93011428db687714db1,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/repaired_validation.py,.py,5646,33e9645b14472d6e328d1cf3bf7c246a7ef7083e468cfdc5ebfdf24c0334564f,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/repair_report.json,.json,450,68b3bff1a793d4e7ba861767782d505528ff3a14782b8869768356058677a95e,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/validation_report.json,.json,802,e49a16fa9dc6d0b0d614f57b3bacf3881e1b6c08500ba77a6038ac824c63bb6f,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/wp2c_verify.py,.py,56547,2fce01470561ffaecd49ed2655bd3fd5f660d9e7cd3a829f8e7007b16ab5c2c3,external,outside_repository,connectivity_evidence,WP2,ACCEPTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/connectivity_diagnostics.json,.json,9932,5d84c8e70049b05715b761964ea92cbd5de33e81758cd93011428db687714db1,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/PROMOTION_BLOCKED.json,.json,752,5dde497ea7376382acc98a374dea9f2ca3a107c539e693c716ca7520c72728cb,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,EXCLUDE_REJECTED_MARKER
work_package_02_connectivity/rejected_attempt_v1/repaired_validation.py,.py,5646,33e9645b14472d6e328d1cf3bf7c246a7ef7083e468cfdc5ebfdf24c0334564f,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/repair_report.json,.json,450,68b3bff1a793d4e7ba861767782d505528ff3a14782b8869768356058677a95e,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/00_WP2C_EXECUTIVE_STATUS.md,.md,3764,d199761fe0d708a04b7206f05353fa66ddd1f086251b54b20f799963ad34f41a,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/01_METRIC_DEFINITIONS.json,.json,871,def098093e8f416fb446103367df2efd761ee0727ce4c96741d64a780b6fca34,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/02_BASELINE_RECOMPUTATION.json,.json,1573,0b8ac036100dcdfc11e48ca3c159ea1df0a3b5bdd287900d20527c246363c68c,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/03_REPAIR_VALIDATION.csv,.csv,836517,d97511a3bd57667c9634c631cf08cb1eb721503ee6f65e6d4d4f276d70272453,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/04_REJECTED_REPAIRS.csv,.csv,453037,9ade8d526d2b7b3b0bce45966807e4e3b3c22edb5ac13bfd4dbbd46482816b44,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/05_PREDECESSOR_FAILURE_CLASSIFICATION.csv,.csv,938,dba6a8dd647b38fde06788ca6c57b40774bfe68b01d015711060e78a4f86f15a,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/06_RECIPROCITY_MATRIX_RESULTS.json,.json,2927,1b1f0bf66004436547c4f4a8dab00efe4b6e552260ebd9373f6e9aa05cc7838b,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/07_JUNCTION_CONNECTION_REPORT.json,.json,12718,aed8b6bea904b20e127054708d4d64ee54beb0ca4070e81d54c0895a6002e66d,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/08_LANELINK_REPORT.json,.json,6237,ad2979a8d3a728b043f7e5bf0ff43851bf5581fdbf1f371e249d6df8e55c4abe,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/09_COMPONENT_ANALYSIS.csv,.csv,399,db48f539424e6cfbdb74deeb4003c06d31020dae1323e3e2da3ab2399c3aa897,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/10_ROUTE_FIXTURE_RESULTS.json,.json,2145,7afa71f452e5b8493648c5bd422a6420469ac8dc59bd59f9b7dec22838ebb6a1,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
work_package_02_connectivity/rejected_attempt_v1/verification/11_CONTENT_PRESERVATION.json,.json,1159,4b621140a6d577405fa13b7181d2bd98181c74c4d9e684e14f69c29cece31903,external,outside_repository,rejected_connectivity_candidate,WP2,REJECTED,COMMIT_DIRECTLY
