source_road,target_road,distance_m,heading_diff,reason
49388,59657,24.57,0.0,distance_exceeded (24.6m > 15.0m)
42723,64873,12.01,36.71,heading_incompatible (36.7° > 15.0°)
43544,58790,27.02,0.0,distance_exceeded (27.0m > 15.0m)
42898,65904,36.46,134.85,distance_exceeded (36.5m > 15.0m); heading_incompatible (134.9° > 15.0°)
41257,70795,45.0,100.65,distance_exceeded (45.0m > 15.0m); heading_incompatible (100.7° > 15.0°)
43756,68695,13.13,113.77,heading_incompatible (113.8° > 15.0°)
46848,60532,16.09,0.0,distance_exceeded (16.1m > 15.0m)
47515,63712,44.14,0.0,distance_exceeded (44.1m > 15.0m)
44485,62065,1.12,31.9,heading_incompatible (31.9° > 15.0°)
46011,54871,29.09,177.38,distance_exceeded (29.1m > 15.0m); heading_incompatible (177.4° > 15.0°)
40073,54997,0.74,149.17,heading_incompatible (149.2° > 15.0°)
41310,58277,26.46,0.0,distance_exceeded (26.5m > 15.0m)
49658,58752,0.2,124.23,heading_incompatible (124.2° > 15.0°)
47085,56588,0.2,89.14,heading_incompatible (89.1° > 15.0°)
40169,56067,30.8,6.01,distance_exceeded (30.8m > 15.0m)
46563,58716,18.01,0.0,distance_exceeded (18.0m > 15.0m)
45474,69770,0.78,67.2,heading_incompatible (67.2° > 15.0°)
42978,61252,13.5,130.87,heading_incompatible (130.9° > 15.0°)
41586,58019,0.2,171.21,heading_incompatible (171.2° > 15.0°)
48488,51792,15.46,0.0,distance_exceeded (15.5m > 15.0m)
41628,55514,31.63,19.44,distance_exceeded (31.6m > 15.0m); heading_incompatible (19.4° > 15.0°)
49477,69118,10.46,33.82,heading_incompatible (33.8° > 15.0°)
41756,54457,6.83,166.12,heading_incompatible (166.1° > 15.0°)
45025,49868,0.2,178.27,heading_incompatible (178.3° > 15.0°)
42316,62610,43.47,0.0,distance_exceeded (43.5m > 15.0m)
46380,57584,36.18,39.92,distance_exceeded (36.2m > 15.0m); heading_incompatible (39.9° > 15.0°)
47380,63009,23.81,47.93,distance_exceeded (23.8m > 15.0m); heading_incompatible (47.9° > 15.0°)
45177,53848,6.31,46.04,heading_incompatible (46.0° > 15.0°)
45768,54399,28.97,25.98,distance_exceeded (29.0m > 15.0m); heading_incompatible (26.0° > 15.0°)
49694,69568,16.61,0.0,distance_exceeded (16.6m > 15.0m)
43477,52899,0.2,155.88,heading_incompatible (155.9° > 15.0°)
44382,56264,18.9,173.0,distance_exceeded (18.9m > 15.0m); heading_incompatible (173.0° > 15.0°)
42531,65598,31.96,0.0,distance_exceeded (32.0m > 15.0m)
47743,64937,30.01,156.17,distance_exceeded (30.0m > 15.0m); heading_incompatible (156.2° > 15.0°)
42420,62989,49.32,0.0,distance_exceeded (49.3m > 15.0m)
49237,52626,48.75,130.89,distance_exceeded (48.7m > 15.0m); heading_incompatible (130.9° > 15.0°)
42566,61295,0.59,116.26,heading_incompatible (116.3° > 15.0°)
49496,69179,5.24,16.14,heading_incompatible (16.1° > 15.0°)
49674,49916,32.91,78.14,distance_exceeded (32.9m > 15.0m); heading_incompatible (78.1° > 15.0°)
41425,65424,11.57,106.79,heading_incompatible (106.8° > 15.0°)
40759,57331,1.98,152.35,heading_incompatible (152.4° > 15.0°)
41179,54910,0.2,112.38,heading_incompatible (112.4° > 15.0°)
46694,59636,7.19,32.54,heading_incompatible (32.5° > 15.0°)
43476,52882,27.6,160.73,distance_exceeded (27.6m > 15.0m); heading_incompatible (160.7° > 15.0°)
45617,50281,6.5,148.04,heading_incompatible (148.0° > 15.0°)
49611,59264,23.49,175.32,distance_exceeded (23.5m > 15.0m); heading_incompatible (175.3° > 15.0°)
43925,63289,23.61,0.0,distance_exceeded (23.6m > 15.0m)
46568,58777,48.16,0.0,distance_exceeded (48.2m > 15.0m)
42243,62187,7.2,148.28,heading_incompatible (148.3° > 15.0°)
48760,51276,1.14,155.99,heading_incompatible (156.0° > 15.0°)
42134,61759,2.12,32.93,heading_incompatible (32.9° > 15.0°)
44224,52014,36.01,165.12,distance_exceeded (36.0m > 15.0m); heading_incompatible (165.1° > 15.0°)
43183,67037,31.16,168.63,distance_exceeded (31.2m > 15.0m); heading_incompatible (168.6° > 15.0°)
48040,50035,45.96,8.66,distance_exceeded (46.0m > 15.0m)
42422,63019,27.9,0.0,distance_exceeded (27.9m > 15.0m)
41004,54770,6.68,97.97,heading_incompatible (98.0° > 15.0°)
49239,69537,3.24,62.37,heading_incompatible (62.4° > 15.0°)
43456,53858,39.14,0.0,distance_exceeded (39.1m > 15.0m)
42009,60982,43.3,96.39,distance_exceeded (43.3m > 15.0m); heading_incompatible (96.4° > 15.0°)
40507,51147,19.37,0.0,distance_exceeded (19.4m > 15.0m)
48652,66886,16.67,139.78,distance_exceeded (16.7m > 15.0m); heading_incompatible (139.8° > 15.0°)
41917,60432,7.17,81.76,heading_incompatible (81.8° > 15.0°)
47396,63070,0.2,61.0,heading_incompatible (61.0° > 15.0°)
46685,59537,32.3,98.75,distance_exceeded (32.3m > 15.0m); heading_incompatible (98.7° > 15.0°)
