path,tracked,pre_batch_hash,current_hash,file_bytes,file_count,reason,owner,required_by_pipeline,safe_to_ignore,must_preserve,move_to_isolated_evidence,note
reports/post_audit_hardening/20260801T221042Z/issues_registry.jsonl,M,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9ca1c33344f4cd589f7633c880cff24893d768d4408156187ea2697794e12eea,5978,,"pre-existing modification, not touched by this batch",pipeline (stage_08 integrity / domain gap),True,False,True,False,
submission/infrastructure/ultimate_pipeline/pipeline_stages/stage_08_final_integrity.py,M,548fc557a47faf91dd68a6aabc1bc073826a873dbb50467a22c660b9c35f5f79,915be1df7cdc370210d81919cbf0a27a2ae934d43ac7247aac08f9e3ad4abbb1,29585,,"pre-existing modification, not touched by this batch",pipeline (stage_08 integrity / domain gap),True,False,True,False,
submission/infrastructure/ultimate_pipeline/pipeline_stages/stage_08_integrity.py,M,2535059b26d5127aa357222224266ed09d0d3c6e7a48bf33454cc1c68bf45c13,924259f69e48dc389f40bdb09722815ccae94c77eca0efe800ab479f034d452d,35853,,"pre-existing modification, not touched by this batch",pipeline (stage_08 integrity / domain gap),True,False,True,False,
ultimate_pipeline/run_full_domain_gap.py,M,a8f7e64f81135cac5da53a3e3f574c8686990f20b3e09dcbcdefbb61f8334672,252f2556b02585245b8c09175ae84075cf89284cee6ab8f9cb68c4913d29466e,322270,,"pre-existing modification, not touched by this batch",pipeline (stage_08 integrity / domain gap),True,False,True,False,
.githooks/,False,,ce7c8c89a6c68ad7fcc26422210b4477fa8168582f005009d53e24aa78fcd637,,4,local git hooks (pre-commit checks),repo-hygiene,False,True,True,False,
.idea/,False,,c8937bdeab0cd9cc9b3d7c916c2dea36029e65dfa63db026f0d9936ed9fe4c99,,8,IDE project metadata,dev,False,True,False,False,
audit_output.zip,False,,1c0cbd68b3c570caddbc8361ede2c841acd8a7f61b480a25d83677e2a9db6330,519751,,archive snapshot of audit_output (identical contents),audit,False,False,True,True,
audit_output/,False,,c94ca27997e7e507159d14b4974e2430bd1f0aff615c7ba44c2ba373d0e1b352,,33,"authoritative audit inputs (inventory, results, manifest)",audit,True,False,True,True,
campaigns/ingolstadt_cooked_perception_v1/candidate/verify_final_xodr_report.json,False,,528f73005f6971cf2ce4d32f46fec412968c6de31438934d9f924de6a5501f87,1069,,"campaign artifacts (source OSM, candidate XODR, reports)",campaign/pipeline,True,False,True,True,
carla_governed/,False,,0cc7b7c122602c14b8c8329cea1b563f659b4b7e94f7713e35289e55cbc827fe,,466,governed toolchain: OSM2World binary + pinned artifacts,toolchain,False,False,True,True,
create_a1_registries.py,False,,727ffab3e734e1809e0213ad0667d8d6ec4433c7e1b5843a2de939a07f03def7,1445,,root-level dev artifact (script/report),dev,False,False,True,False,
external/,False,,bebb9e56450b39d015faf5e9b25c952ffaf6278894170dcee8b2bf4fb8a5488c,,1101,external dependency artifacts,toolchain,False,False,True,True,
generate_audit.py,False,,554f78894815cdb638866e10162211a342ca8663d61a6eead8d84a373f9135a0,20917,,root-level dev artifact (script/report),dev,False,False,True,False,
nul,False,,,,,accidental Windows artifact (file named nul),dev,False,True,False,False,
