object_id,osm_id,type,name,road_id,road_ids_all,s,t,hdg_deg,depth_m,disposition,reason
crosswalk_1310466537,1310466537,crosswalk,crosswalk,40083,"[""40083""]",468.786,-4.400,-11.8029,4.0,INSERTED,matched road=40083 s=468.786 t=-4.4 dist=6.112
crosswalk_1304137983,1304137983,crosswalk,crosswalk,40448,"[""40448""]",2.658,-4.400,-160.0844,4.0,INSERTED,matched road=40448 s=2.658 t=-4.4 dist=4.661
crosswalk_1304137990,1304137990,crosswalk,crosswalk,42000,"[""42000""]",41.961,-4.400,113.7321,4.0,INSERTED,matched road=42000 s=41.961 t=-4.4 dist=4.011
crosswalk_1304138002,1304138002,crosswalk,crosswalk,42010,"[""42010""]",163.775,-4.400,-24.2934,4.0,INSERTED,matched road=42010 s=163.775 t=-4.4 dist=7.006
crosswalk_710645369,710645369,crosswalk,crosswalk_signals,42870,"[""42870""]",62.037,-7.400,50.7641,4.0,INSERTED,matched road=42870 s=62.037 t=-7.4 dist=6.993
crosswalk_1251945025,1251945025,crosswalk,crosswalk,43768,"[""43768"", ""45735""]",76.877,-4.400,-100.4395,4.0,DUPLICATE_MERGED,"matched to 2 roads: ['43768', '45735']"
crosswalk_397807429,397807429,crosswalk,crosswalk_signals,43848,"[""43848""]",46.320,-4.400,168.7361,4.0,INSERTED,matched road=43848 s=46.32 t=-4.4 dist=5.648
crosswalk_815412609,815412609,crosswalk,crosswalk_signals,43964,"[""43964""]",78.509,-13.400,34.2056,4.0,INSERTED,matched road=43964 s=78.509 t=-13.4 dist=11.584
crosswalk_1251945016,1251945016,crosswalk,crosswalk_signals,44260,"[""44260""]",112.842,-4.400,-60.3325,4.0,INSERTED,matched road=44260 s=112.842 t=-4.4 dist=5.308
crosswalk_885891572,885891572,crosswalk,crosswalk_marked,44521,"[""44521""]",5.213,-7.400,-55.9207,4.0,INSERTED,matched road=44521 s=5.213 t=-7.4 dist=13.55
crosswalk_1210272943,1210272943,crosswalk,crosswalk_signals,44575,"[""44575""]",10.081,-4.400,136.4785,4.0,INSERTED,matched road=44575 s=10.081 t=-4.4 dist=3.48
crosswalk_815412599,815412599,crosswalk,crosswalk_signals,44605,"[""44605"", ""68649""]",25.205,-7.400,100.8979,4.0,DUPLICATE_MERGED,"matched to 2 roads: ['44605', '68649']"
crosswalk_1272842061,1272842061,crosswalk,crosswalk_signals,44662,"[""44662""]",87.226,-13.400,77.0055,4.0,INSERTED,matched road=44662 s=87.226 t=-13.4 dist=9.823
crosswalk_1189565564,1189565564,crosswalk,crosswalk_signals,44670,"[""44670""]",7.435,-7.400,76.8336,4.0,INSERTED,matched road=44670 s=7.435 t=-7.4 dist=0.167
crosswalk_888409635,888409635,crosswalk,crosswalk_signals,44675,"[""44675""]",59.750,-10.400,64.6869,4.0,INSERTED,matched road=44675 s=59.75 t=-10.4 dist=9.816
crosswalk_1050386657,1050386657,crosswalk,crosswalk_marked,45439,"[""45439""]",6.121,-7.400,-174.5802,4.0,INSERTED,matched road=45439 s=6.121 t=-7.4 dist=11.587
