osm_id,element,classification,disposition,reason,node_count,length_m,centroid_m,tags
22715565,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,17,156.686,"[836440.422, 5467180.515]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""yes"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""asphalt""}"
23011316,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,12,538.107,"[838597.411, 5461419.577]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""surface"": ""pebblestone""}"
23036978,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,5,239.383,"[838747.564, 5461430.514]","{""foot"": ""yes"", ""highway"": ""footway"", ""lit"": ""no"", ""note"": ""Verlauf ungenau"", ""source"": ""HiRes aerial imagery"", ""surface"": ""pebblestone""}"
23036982,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,20,1071.48,"[839310.188, 5461622.604]","{""highway"": ""footway"", ""lit"": ""no"", ""surface"": ""pebblestone""}"
23036987,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,8,455.648,"[839678.262, 5461433.534]","{""highway"": ""footway"", ""lit"": ""yes"", ""surface"": ""pebblestone""}"
23037001,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,30,1054.871,"[839056.585, 5462088.148]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""gravel""}"
23037072,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,31.132,"[839710.499, 5461133.19]","{""highway"": ""footway"", ""lit"": ""yes"", ""source"": ""HiRes aerial imagery""}"
23043009,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,6,43.263,"[838523.234, 5460909.195]","{""foot"": ""designated"", ""highway"": ""path"", ""name"": ""Reiterga\u00dfl"", ""source"": ""HiRes aerial imagery"", ""traffic_sign"": ""DE:238"", ""width"": ""1""}"
23043061,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,5,119.705,"[839120.084, 5460951.07]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""yes"", ""segregated"": ""no"", ""surface"": ""asphalt"", ""traffic_sign"": ""DE:240"", ""width"": ""3.5""}"
23050120,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,11,439.1,"[840567.761, 5461986.496]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""railway"": ""abandoned"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""traffic_sign"": ""DE:240""}"
23059857,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,4,69.954,"[839057.153, 5462295.836]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no""}"
23066313,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,20,428.28,"[839200.639, 5461269.818]","{""highway"": ""footway"", ""lit"": ""no"", ""surface"": ""pebblestone""}"
23066459,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,24.823,"[839083.371, 5460979.533]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""yes"", ""source"": ""HiRes aerial imagery"", ""surface"": ""asphalt""}"
23084968,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,341.79,"[840400.782, 5461590.803]","{""embankment"": ""yes"", ""highway"": ""footway"", ""railway"": ""abandoned""}"
23101623,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,22,570.294,"[840882.531, 5462643.622]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""segregated"": ""no"", ""surface"": ""fine_gravel"", ""traffic_sign"": ""DE:240""}"
23114857,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,81.198,"[840671.162, 5462409.286]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""traffic_sign"": ""DE:240""}"
23183710,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,14,269.02,"[839144.325, 5463226.658]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""gravel""}"
23183814,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,96.964,"[839069.421, 5463398.839]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""asphalt""}"
23183945,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,135.402,"[839786.762, 5462084.727]","{""foot"": ""designated"", ""highway"": ""path"", ""source"": ""HiRes aerial imagery""}"
23184470,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,37.173,"[839677.745, 5462302.37]","{""foot"": ""designated"", ""highway"": ""path"", ""source"": ""HiRes aerial imagery"", ""surface"": ""paving_stones"", ""traffic_sign"": ""DE:239""}"
23206050,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,46.296,"[840815.861, 5462822.025]","{""highway"": ""footway""}"
23206138,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,26,372.994,"[841299.03, 5463914.773]","{""highway"": ""footway""}"
23206158,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,38.465,"[841253.129, 5463924.927]","{""highway"": ""footway""}"
23206243,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,7,58.538,"[841772.085, 5464065.129]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""surface"": ""asphalt""}"
23206337,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,44,873.839,"[842537.005, 5465898.524]","{""highway"": ""footway"", ""lit"": ""no"", ""surface"": ""gravel"", ""traffic_sign"": ""DE:239"", ""width"": ""1.5""}"
23206520,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,15.729,"[840835.371, 5462481.517]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""traffic_sign"": ""DE:240""}"
23206611,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,6,162.047,"[840825.4, 5462491.627]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""surface"": ""fine_gravel"", ""traffic_sign"": ""DE:240""}"
23232019,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,24.775,"[838121.488, 5460654.5]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""traffic_sign"": ""DE:240""}"
23232117,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,3,35.334,"[838110.659, 5460377.991]","{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no""}"
