osm_id,highway,crossing_type,node_count,length_m,centroid_m,start_m,end_m,road_ids,s,t,match_distance_m,disposition,reason
26677871,footway,traffic_signals,2,7.769,"[838314.138, 5468119.675]","[838317.4823000883, 5468121.652430082]","[838310.7946485252, 5468117.698183046]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
128361166,path,traffic_signals,4,31.443,"[836275.626, 5467335.969]","[836291.0197111822, 5467338.950703132]","[836260.0923873762, 5467333.936502599]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
168243635,footway,unmarked,3,33.099,"[840226.062, 5466302.104]","[840213.6501766968, 5466296.871970141]","[840244.217160446, 5466309.55578578]",[],,,,OUTSIDE_MAP_SCOPE,no road within match threshold
175770994,footway,marked,3,24.708,"[836875.922, 5467598.708]","[836886.8919653778, 5467605.083089289]","[836865.5303445023, 5467592.666735007]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
175770998,footway,marked,3,29.68,"[836897.593, 5467590.335]","[836905.338176305, 5467577.28370747]","[836890.3226135725, 5467602.880545709]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
203133166,footway,unmarked,3,9.867,"[838361.023, 5468613.858]","[838355.9321582007, 5468613.153073432]","[838365.7065814567, 5468614.501920634]",[],,,,OUTSIDE_MAP_SCOPE,no road within match threshold
245375073,footway,traffic_signals,2,11.386,"[838322.908, 5468123.378]","[838317.4823000883, 5468121.652430082]","[838328.3327623529, 5468125.104473538]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
317613599,footway,traffic_signals,6,25.269,"[839005.059, 5467952.77]","[839002.155864405, 5467961.476736378]","[839012.7716294854, 5467939.343995542]","[""70396""]",18.903,-3.0,7.41,INSERTED,matched road=70396 s=18.903 t=-3.0 dist=7.41
317613600,footway,traffic_signals,7,30.393,"[838990.031, 5467949.256]","[839002.1287801733, 5467955.833832401]","[838974.8575261332, 5467942.7480551405]","[""70382"", ""70396""]",25.536,-4.4,12.294,DUPLICATE_MERGED,"matched to 2 roads: ['70382', '70396']"
333438883,footway,traffic_signals,5,33.145,"[842552.632, 5465214.312]","[842536.6554781239, 5465221.2183535695]","[842567.1979866032, 5465209.899522278]","[""69845""]",0.0,-4.4,6.198,INSERTED,matched road=69845 s=0.0 t=-4.4 dist=6.198
337986521,footway,traffic_signals,3,27.457,"[843658.436, 5465305.388]","[843646.1447216778, 5465299.123134383]","[843670.5825611154, 5465311.638409261]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
339417560,footway,traffic_signals,3,26.556,"[843638.406, 5465343.817]","[843650.2337855952, 5465349.451233569]","[843626.2597346744, 5465338.0281407265]",[],,,,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
397807429,footway,traffic_signals,3,14.593,"[838029.742, 5463653.123]","[838036.4343113161, 5463651.793056658]","[838022.1212309705, 5463654.637149947]","[""43848""]",46.32,-4.4,5.648,INSERTED,matched road=43848 s=46.32 t=-4.4 dist=5.648
