fixture_id,osm_id,source,road_id,s,t,hdg_deg,orientation,position,context,cornerLocal
crosswalk_1310466537,1310466537,REAL,40083,468.786,-4.4,348.2,E,SIDE,STRAIGHT,"[[0.720945, -3.640572, 0.0], [0.024023, 0.298248, 0.0], [-9.849903, -1.44881, 0.0], [-9.152982, -5.38763, 0.0], [0.720945, -3.640572, 0.0]]"
crosswalk_1304137983,1304137983,REAL,40448,2.658,-4.4,199.92,W,SIDE,STRAIGHT,"[[1.855361, -0.438818, 0.0], [-1.87767, 0.998012, 0.0], [-4.937843, -6.95263, 0.0], [-1.204813, -8.38946, 0.0], [1.855361, -0.438818, 0.0]]"
crosswalk_1304137990,1304137990,REAL,42000,41.961,-4.4,113.73,N,SIDE,STRAIGHT,"[[6.607517, -4.950722, 0.0], [8.867221, -1.650156, 0.0], [1.859936, 3.147323, 0.0], [-0.399769, -0.153242, 0.0], [6.607517, -4.950722, 0.0]]"
crosswalk_1304138002,1304138002,REAL,42010,163.775,-4.4,335.71,E,SIDE,STRAIGHT,"[[-0.020891, -3.119272, 0.0], [3.362016, -0.984807, 0.0], [-3.143088, 9.325109, 0.0], [-6.525995, 7.190643, 0.0], [-0.020891, -3.119272, 0.0]]"
crosswalk_710645369,710645369,REAL,42870,62.037,-7.4,50.76,N,SIDE,STRAIGHT,"[[-1.053685, 1.704207, 0.0], [1.670735, -1.224537, 0.0], [14.193009, 10.424118, 0.0], [11.46859, 13.352862, 0.0], [-1.053685, 1.704207, 0.0]]"
crosswalk_1251945025,1251945025,REAL,43768,76.877,-4.4,259.56,S,SIDE,STRAIGHT,"[[1.761266, 0.070594, 0.0], [-2.238437, 0.021913, 0.0], [-1.952603, -23.462914, 0.0], [2.0471, -23.414233, 0.0], [1.761266, 0.070594, 0.0]]"
crosswalk_397807429,397807429,REAL,43848,46.32,-4.4,168.74,W,SIDE,STRAIGHT,"[[0.143616, -9.683847, 0.0], [4.134388, -9.955398, 0.0], [5.125068, 4.603849, 0.0], [1.134296, 4.8754, 0.0], [0.143616, -9.683847, 0.0]]"
crosswalk_815412609,815412609,REAL,43964,78.509,-13.4,34.21,E,SIDE,STRAIGHT,"[[-0.747343, 2.435208, 0.0], [2.789815, 0.567452, 0.0], [14.013055, 21.822029, 0.0], [10.475897, 23.689785, 0.0], [-0.747343, 2.435208, 0.0]]"
crosswalk_1251945016,1251945016,REAL,44260,112.842,-4.4,299.67,S,SIDE,STRAIGHT,"[[-7.460446, 6.566261, 0.0], [-9.398789, 3.067286, 0.0], [-0.651788, -1.77833, 0.0], [1.286555, 1.720645, 0.0], [-7.460446, 6.566261, 0.0]]"
crosswalk_885891572,885891572,REAL,44521,5.213,-7.4,304.08,S,SIDE,STRAIGHT,"[[4.008344, -4.976365, 0.0], [6.31755, -1.71024, 0.0], [-3.304844, 5.092955, 0.0], [-5.61405, 1.82683, 0.0], [4.008344, -4.976365, 0.0]]"
