osm_id,highway,crossing_type_raw,normalized_subtype,author,confidence,disposition,road_ids
26677871,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
128361166,path,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
168243635,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
175770994,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
175770998,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
203133166,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
245375073,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
317613599,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""70396""]"
317613600,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,DUPLICATE_MERGED,"[""70382"", ""70396""]"
333438883,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""69845""]"
337986521,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
339417560,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
397807429,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""43848""]"
710645369,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""42870""]"
767516505,path,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
767516506,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
770850184,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
770850191,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
812643945,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
814692001,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""70390""]"
814692002,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
815412593,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
815412594,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
815412596,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""67417""]"
815412598,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
815412599,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,DUPLICATE_MERGED,"[""44605"", ""68649""]"
815412609,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""43964""]"
815412616,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
815412617,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
816754719,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
816754720,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
816754721,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""68861""]"
816754722,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""49331""]"
822603353,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""49126""]"
822603362,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""69980""]"
822603365,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""69986""]"
823880352,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
832481040,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
832481041,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
833624970,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,DUPLICATE_MERGED,"[""49395"", ""49397""]"
833624971,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,DUPLICATE_MERGED,"[""49574"", ""72485""]"
833624972,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""72479""]"
833624976,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
852873995,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
857631237,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""69387""]"
865774603,path,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
865774606,path,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""49212""]"
865774610,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""68726""]"
882016636,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
885891572,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""44521""]"
885891576,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
885891587,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
887476712,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
888409629,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
888409633,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
888409635,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""44675""]"
888409636,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
891546830,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""49378""]"
899618627,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
954049852,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1021661423,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1028458468,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1040556557,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1040640680,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1040640681,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1040640682,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1040640684,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1042215664,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1042215665,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1042219117,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1042219118,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""65295""]"
1042219119,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1042219121,cycleway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1042219123,cycleway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1043366193,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""48986""]"
1043366198,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1050386657,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""45439""]"
1051861790,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1052297355,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1052297356,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1052297357,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1053732601,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1065435249,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""49379""]"
1084686582,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1085423837,footway,marked,MARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1086054569,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1086054571,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1086054572,footway,traffic_signals,SIGNALIZED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1112444444,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1148941115,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1180627127,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1180627128,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1182767734,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1182767736,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,INSERTED,"[""61451""]"
1182767739,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1182767741,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
1182938514,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1182938517,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1182938519,footway,uncontrolled,UNCONTROLLED,CROSSING_TAG_V1 / STAGE_H,0.95,OUTSIDE_MAP_SCOPE,[]
1182938520,footway,unmarked,UNMARKED,CROSSING_TAG_V1 / STAGE_H,0.95,AMBIGUOUS_MATCH_REJECTED,[]
