osm_id,element,classification,disposition,reason,node_count,length_m,centroid_m,tags
22715565,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,17,156.686,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""yes"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""asphalt""}"
23011316,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,12,538.107,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""surface"": ""pebblestone""}"
23036978,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,5,239.383,[],"{""foot"": ""yes"", ""highway"": ""footway"", ""lit"": ""no"", ""note"": ""Verlauf ungenau"", ""source"": ""HiRes aerial imagery"", ""surface"": ""pebblestone""}"
23036982,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,20,1071.48,[],"{""highway"": ""footway"", ""lit"": ""no"", ""surface"": ""pebblestone""}"
23036987,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,8,455.648,[],"{""highway"": ""footway"", ""lit"": ""yes"", ""surface"": ""pebblestone""}"
23037001,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,30,1054.871,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""surface"": ""gravel""}"
23037072,way,FOOTWAY,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,2,31.132,[],"{""highway"": ""footway"", ""lit"": ""yes"", ""source"": ""HiRes aerial imagery""}"
23043009,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,6,43.263,[],"{""foot"": ""designated"", ""highway"": ""path"", ""name"": ""Reiterga\u00dfl"", ""source"": ""HiRes aerial imagery"", ""traffic_sign"": ""DE:238"", ""width"": ""1""}"
23043061,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,5,119.705,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""yes"", ""segregated"": ""no"", ""surface"": ""asphalt"", ""traffic_sign"": ""DE:240"", ""width"": ""3.5""}"
23050120,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,11,439.1,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""lit"": ""no"", ""railway"": ""abandoned"", ""segregated"": ""no"", ""source"": ""HiRes aerial imagery"", ""traffic_sign"": ""DE:240""}"
23059857,way,PATH,ALREADY_PRESENT,represented by existing XODR sidewalk lanes; no auto-conversion,4,69.954,[],"{""bicycle"": ""designated"", ""foot"": ""designated"", ""highway"": ""path"", ""segregated"": ""no""}"
