junction_id,connection_id,issue,detail
1,0,connector_end_pose_mismatch,3.499999
1,2,connector_start_pose_mismatch,3.5
1,2,connector_end_pose_mismatch,3.5
1,3,connector_start_pose_mismatch,3.499997
10,0,connector_end_pose_mismatch,3.5
10,2,connector_end_pose_mismatch,3.5
87,2,connector_start_pose_mismatch,3.500001
87,2,connector_end_pose_mismatch,3.5
87,5,connector_start_pose_mismatch,3.5
87,5,connector_end_pose_mismatch,3.5
906,0,connector_end_pose_mismatch,3.5
907,0,connector_start_pose_mismatch,3.499999
907,0,connector_end_pose_mismatch,3.500001
909,6,connector_start_pose_mismatch,3.499999
909,6,connector_end_pose_mismatch,3.500001
910,2,connector_start_pose_mismatch,3.5
910,2,connector_end_pose_mismatch,3.5
910,5,connector_start_pose_mismatch,3.499999
910,5,connector_end_pose_mismatch,3.5
910,8,connector_start_pose_mismatch,3.5
910,8,connector_end_pose_mismatch,3.5
911,3,connector_start_pose_mismatch,3.5
911,3,connector_end_pose_mismatch,3.5
911,4,connector_end_pose_mismatch,6.999999
911,6,connector_start_pose_mismatch,3.5
911,6,connector_end_pose_mismatch,3.5
911,7,connector_start_pose_mismatch,7.0
912,1,connector_start_pose_mismatch,3.499999
912,1,connector_end_pose_mismatch,3.5
913,2,connector_start_pose_mismatch,3.500001
913,2,connector_end_pose_mismatch,3.5
913,5,connector_start_pose_mismatch,3.5
913,5,connector_end_pose_mismatch,3.5
88,2,connector_start_pose_mismatch,3.5
88,2,connector_end_pose_mismatch,3.5
88,5,connector_start_pose_mismatch,3.5
88,5,connector_end_pose_mismatch,3.5
915,2,connector_start_pose_mismatch,3.5
915,2,connector_end_pose_mismatch,3.5
915,5,connector_start_pose_mismatch,3.5
915,5,connector_end_pose_mismatch,3.5
915,8,connector_start_pose_mismatch,3.5
915,8,connector_end_pose_mismatch,3.5
916,0,connector_start_pose_mismatch,3.5
916,0,connector_end_pose_mismatch,3.5
917,0,connector_start_pose_mismatch,3.5
917,0,connector_end_pose_mismatch,3.5
919,6,connector_start_pose_mismatch,3.5
919,6,connector_end_pose_mismatch,3.5
920,3,connector_start_pose_mismatch,3.499999
920,3,connector_end_pose_mismatch,3.5
920,13,connector_start_pose_mismatch,3.499999
920,13,connector_end_pose_mismatch,3.5
922,3,connector_start_pose_mismatch,3.500001
922,3,connector_end_pose_mismatch,3.5
922,10,connector_start_pose_mismatch,3.5
922,10,connector_end_pose_mismatch,3.5
89,4,connector_start_pose_mismatch,3.499999
89,4,connector_end_pose_mismatch,3.5
89,7,connector_start_pose_mismatch,3.5
89,7,connector_end_pose_mismatch,3.5
923,6,connector_start_pose_mismatch,3.500001
923,6,connector_end_pose_mismatch,3.5
924,7,connector_start_pose_mismatch,3.499999
924,7,connector_end_pose_mismatch,3.5
926,2,connector_start_pose_mismatch,3.5
926,2,connector_end_pose_mismatch,3.5
926,5,connector_start_pose_mismatch,3.499999
926,5,connector_end_pose_mismatch,3.5
929,6,connector_start_pose_mismatch,3.499999
929,6,connector_end_pose_mismatch,3.5
90,4,connector_start_pose_mismatch,3.5
90,4,connector_end_pose_mismatch,3.5
90,7,connector_start_pose_mismatch,3.5
90,7,connector_end_pose_mismatch,3.499999
930,6,connector_start_pose_mismatch,3.5
930,6,connector_end_pose_mismatch,3.5
931,4,connector_start_pose_mismatch,3.5
931,4,connector_end_pose_mismatch,3.5
933,6,connector_start_pose_mismatch,3.5
933,6,connector_end_pose_mismatch,3.500001
934,2,connector_start_pose_mismatch,3.5
934,2,connector_end_pose_mismatch,3.5
934,5,connector_start_pose_mismatch,3.5
934,5,connector_end_pose_mismatch,3.5
934,8,connector_start_pose_mismatch,3.5
934,8,connector_end_pose_mismatch,3.5
935,0,connector_start_pose_mismatch,3.5
935,0,connector_end_pose_mismatch,3.5
936,9,connector_start_pose_mismatch,3.500001
936,9,connector_end_pose_mismatch,3.499999
936,13,connector_start_pose_mismatch,3.5
936,13,connector_end_pose_mismatch,3.5
91,2,connector_start_pose_mismatch,3.5
91,2,connector_end_pose_mismatch,3.5
91,5,connector_start_pose_mismatch,3.5
91,5,connector_end_pose_mismatch,3.5
91,8,connector_start_pose_mismatch,3.500001
