road_id,relation,elementType,elementId,source_contact,target_contact,xy_gap_m,hdg_gap_deg,z_gap_m,issue
42330,predecessor,junction,1,start,,,,,non_road_link
42330,successor,junction,2,end,,,,,non_road_link
42331,predecessor,junction,3,start,,,,,non_road_link
42331,successor,junction,4,end,,,,,non_road_link
42332,predecessor,junction,5,start,,,,,non_road_link
42332,successor,junction,6,end,,,,,non_road_link
42333,predecessor,junction,7,start,,,,,non_road_link
42333,successor,junction,8,end,,,,,non_road_link
42334,predecessor,junction,9,start,,,,,non_road_link
42334,successor,junction,10,end,,,,,non_road_link
42335,predecessor,junction,11,start,,,,,non_road_link
42336,predecessor,junction,12,start,,,,,non_road_link
42336,successor,junction,13,end,,,,,non_road_link
42337,predecessor,junction,14,start,,,,,non_road_link
42337,successor,junction,15,end,,,,,non_road_link
42338,successor,junction,16,end,,,,,non_road_link
42339,predecessor,junction,17,start,,,,,non_road_link
42339,successor,junction,18,end,,,,,non_road_link
42340,predecessor,junction,19,start,,,,,non_road_link
42340,successor,junction,20,end,,,,,non_road_link
42341,predecessor,junction,21,start,,,,,non_road_link
42341,successor,junction,22,end,,,,,non_road_link
42342,predecessor,junction,23,start,,,,,non_road_link
42342,successor,junction,24,end,,,,,non_road_link
42343,predecessor,junction,25,start,,,,,non_road_link
42343,successor,junction,26,end,,,,,non_road_link
42344,predecessor,junction,27,start,,,,,non_road_link
42344,successor,junction,28,end,,,,,non_road_link
42345,predecessor,junction,29,start,,,,,non_road_link
42345,successor,junction,30,end,,,,,non_road_link
42346,predecessor,junction,29,start,,,,,non_road_link
42346,successor,junction,31,end,,,,,non_road_link
42347,predecessor,junction,32,start,,,,,non_road_link
42347,successor,junction,29,end,,,,,non_road_link
42348,predecessor,junction,33,start,,,,,non_road_link
42348,successor,junction,34,end,,,,,non_road_link
42349,predecessor,junction,35,start,,,,,non_road_link
42349,successor,junction,36,end,,,,,non_road_link
42350,predecessor,junction,37,start,,,,,non_road_link
42350,successor,junction,38,end,,,,,non_road_link
42351,predecessor,junction,39,start,,,,,non_road_link
42351,successor,junction,40,end,,,,,non_road_link
42352,predecessor,junction,41,start,,,,,non_road_link
42352,successor,junction,42,end,,,,,non_road_link
42353,predecessor,junction,43,start,,,,,non_road_link
42353,successor,junction,44,end,,,,,non_road_link
42354,predecessor,junction,45,start,,,,,non_road_link
42354,successor,junction,43,end,,,,,non_road_link
42355,predecessor,junction,46,start,,,,,non_road_link
42355,successor,junction,47,end,,,,,non_road_link
42356,predecessor,junction,48,start,,,,,non_road_link
42356,successor,junction,46,end,,,,,non_road_link
42357,predecessor,junction,49,start,,,,,non_road_link
42357,successor,junction,12,end,,,,,non_road_link
42358,predecessor,junction,50,start,,,,,non_road_link
42358,successor,junction,51,end,,,,,non_road_link
42359,predecessor,junction,52,start,,,,,non_road_link
42359,successor,junction,53,end,,,,,non_road_link
42360,predecessor,junction,54,start,,,,,non_road_link
42360,successor,junction,55,end,,,,,non_road_link
42361,predecessor,junction,56,start,,,,,non_road_link
42361,successor,junction,57,end,,,,,non_road_link
42362,predecessor,junction,58,start,,,,,non_road_link
42362,successor,junction,59,end,,,,,non_road_link
42363,predecessor,junction,60,start,,,,,non_road_link
42363,successor,junction,61,end,,,,,non_road_link
42364,predecessor,junction,62,start,,,,,non_road_link
42364,successor,junction,63,end,,,,,non_road_link
42365,predecessor,junction,64,start,,,,,non_road_link
42365,successor,junction,65,end,,,,,non_road_link
