metric,value
geometry_rmse,85.31957130654521
geometry_hausdorff,6968.602685650037
geometry_hausdorff_norm,1.3173551965025108
curvature_kl_divergence,0.0030586158645774116
intersection_gap,0.1237
semantic_gap,0.1644
road_classification_gap,0.0584
connectivity_predecessor_rate,0.9355488418932527
connectivity_successor_rate,0.9677744209466264
aggregated_composite,0.6385880842651471
road_length_delta_m,1435620.282315
junction_count_delta,21864
intersection_iou,0.8763
road_count_delta,31274
lane_count_delta,10623
gap_whole_intersection.auto.complex,2706.0
gap_whole_intersection.auto.dead_end,0.0
gap_whole_intersection.auto.four_way,401.0
gap_whole_intersection.auto.other,248.0
gap_whole_intersection.auto.roundabout,0.0
gap_whole_intersection.auto.three_way,206.0
gap_whole_intersection.delta.complex,2622.0
gap_whole_intersection.delta.dead_end,0.0
gap_whole_intersection.delta.four_way,374.0
gap_whole_intersection.delta.other,248.0
gap_whole_intersection.delta.roundabout,0.0
gap_whole_intersection.delta.three_way,198.0
gap_whole_intersection.manual.complex,84.0
gap_whole_intersection.manual.dead_end,0.0
gap_whole_intersection.manual.four_way,27.0
gap_whole_intersection.manual.other,0.0
gap_whole_intersection.manual.roundabout,0.0
gap_whole_intersection.manual.three_way,8.0
gap_whole_intersection.normalized_gap,0.1237
gap_whole_road_classification.auto_counts.town,32267.0
gap_whole_road_classification.gap,0.0584
gap_whole_road_classification.manual_counts.motorway,44.0
gap_whole_road_classification.manual_counts.rural,14.0
gap_whole_road_classification.manual_counts.town,935.0
gap_whole_road_classification.normalized_gap,0.0584
gap_whole_road_classification.per_class_diff.motorway.auto,0.0
gap_whole_road_classification.per_class_diff.motorway.delta,-44.0
gap_whole_road_classification.per_class_diff.motorway.manual,44.0
gap_whole_road_classification.per_class_diff.rural.auto,0.0
gap_whole_road_classification.per_class_diff.rural.delta,-14.0
gap_whole_road_classification.per_class_diff.rural.manual,14.0
gap_whole_road_classification.per_class_diff.town.auto,32267.0
gap_whole_road_classification.per_class_diff.town.delta,31332.0
gap_whole_road_classification.per_class_diff.town.manual,935.0
gap_whole_semantics.gap,0.1644
gap_whole_semantics.lane_markings.auto_count,0.0
gap_whole_semantics.lane_markings.auto_density,0.0
gap_whole_semantics.lane_markings.delta_density,0.0
gap_whole_semantics.lane_markings.manual_count,0.0
gap_whole_semantics.lane_markings.manual_density,0.0
gap_whole_semantics.meta.auto_total_road_length,1489145.57524544
gap_whole_semantics.meta.manual_total_road_length,53525.29292972144
gap_whole_semantics.normalized_gap,0.1644
gap_whole_semantics.objects.auto.bench,1122.0
gap_whole_semantics.objects.auto.building,5682.0
gap_whole_semantics.objects.auto.crosswalk,127.0
gap_whole_semantics.objects.auto.guard_rail,21740.0
gap_whole_semantics.objects.auto.lamp_post,24792.0
gap_whole_semantics.objects.auto.traffic_light,21163.0
gap_whole_semantics.objects.auto.trash_bin,2288.0
gap_whole_semantics.objects.delta.barrier,-1547.0
gap_whole_semantics.objects.delta.bench,1122.0
gap_whole_semantics.objects.delta.building,4689.0
gap_whole_semantics.objects.delta.crosswalk,127.0
gap_whole_semantics.objects.delta.gantry,-11.0
gap_whole_semantics.objects.delta.guard_rail,21740.0
gap_whole_semantics.objects.delta.lamp_post,24792.0
gap_whole_semantics.objects.delta.none,-22.0
gap_whole_semantics.objects.delta.obstacle,-469.0
gap_whole_semantics.objects.delta.pole,-3436.0
gap_whole_semantics.objects.delta.roadmark,-1998.0
gap_whole_semantics.objects.delta.traffic_light,21163.0
gap_whole_semantics.objects.delta.trash_bin,2288.0
gap_whole_semantics.objects.delta.tree,-4234.0
gap_whole_semantics.objects.delta.vegetation,-2043.0
gap_whole_semantics.objects.manual.barrier,1547.0
gap_whole_semantics.objects.manual.building,993.0
gap_whole_semantics.objects.manual.gantry,11.0
gap_whole_semantics.objects.manual.none,22.0
gap_whole_semantics.objects.manual.obstacle,469.0
gap_whole_semantics.objects.manual.pole,3436.0
gap_whole_semantics.objects.manual.roadmark,1998.0
gap_whole_semantics.objects.manual.tree,4234.0
gap_whole_semantics.objects.manual.vegetation,2043.0
gap_whole_semantics.road_types.auto_length.town,1489145.5752454493
gap_whole_semantics.road_types.delta_length.motorway,-7928.778760748474
gap_whole_semantics.road_types.delta_length.rural,-869.1090732030341
gap_whole_semantics.road_types.delta_length.town,1444418.1701496795
gap_whole_semantics.road_types.delta_normalized.motorway,-0.14813144079676385
gap_whole_semantics.road_types.delta_normalized.rural,-0.016237352952821235
gap_whole_semantics.road_types.delta_normalized.town,0.1643687937495919
gap_whole_semantics.road_types.manual_length.motorway,7928.778760748474
gap_whole_semantics.road_types.manual_length.rural,869.1090732030341
gap_whole_semantics.road_types.manual_length.town,44727.4050957699
gap_whole_semantics.traffic_lights.auto_count,21163.0
gap_whole_semantics.traffic_lights.auto_density,0.014211505142142955
gap_whole_semantics.traffic_lights.delta_density,0.014211505142142955
gap_whole_semantics.traffic_lights.manual_count,0.0
gap_whole_semantics.traffic_lights.manual_density,0.0
road_delta,N/A
junction_delta,N/A
lane_delta,N/A
road_length_delta,N/A
tile_count_auto,N/A
tile_count_manual,N/A
num_tile_pairs,N/A
