junction,incoming,connecting,gap,contactPoint
911,49526,52077,7.000,start
949,47958,52345,7.000,start
1109,49570,53779,7.000,start
1109,43196,53786,7.000,start
1684,47310,58551,7.000,start
1954,49488,60775,7.000,start
1954,51928,60779,7.000,start
1954,51928,60780,7.000,start
194,46226,60885,7.000,start
194,42449,60894,7.000,start
2219,49486,62975,7.000,start
2221,44881,62988,7.000,start
2226,51476,63018,7.000,start
2226,51476,63019,7.000,start
2399,50551,64325,10.500,start
2406,47483,64391,7.000,start
2595,45231,65809,7.000,start
2965,47071,68138,7.000,start
2965,51324,68142,7.000,start
2965,51301,68146,7.000,start
3070,47309,68589,7.000,start
3075,46932,68632,7.000,start
3124,51644,68866,10.500,start
3124,51644,68867,10.500,start
3124,51644,68868,7.000,start
3125,47674,68870,7.000,start
3125,46644,68872,10.500,start
3129,51893,68892,7.000,start
3129,52006,68900,7.000,start
3139,46817,68949,7.000,start
3149,46689,68978,7.000,start
3149,46819,68981,7.000,start
3162,46895,69039,7.000,start
3187,50163,69131,7.000,start
3187,46885,69139,7.000,start
3190,46858,69151,7.000,start
3211,46892,69200,7.000,start
3244,46980,69289,7.000,start
3255,47026,69314,10.500,start
332,46940,69360,7.000,start
3269,50240,69376,7.000,start
3269,49032,69380,7.000,start
3270,49505,69392,7.000,start
3306,47206,69480,7.000,start
3310,50441,69506,7.000,start
3317,50552,69527,10.500,start
3317,51659,69531,7.000,start
3336,49565,69590,7.000,start
3342,50216,69605,7.000,start
3346,50439,69609,7.000,start
3348,50457,69613,7.000,start
3354,51098,69627,7.000,start
3373,51060,69682,7.000,start
3411,49768,69807,10.500,start
3415,49477,69815,10.500,start
3421,49506,69833,7.000,start
3433,49075,69869,7.000,start
3452,49476,69919,10.500,start
3459,49487,69936,7.000,start
3461,49489,69948,7.000,start
3462,49491,69950,10.500,start
3463,49490,69952,7.000,start
3469,49556,69979,7.000,start
3470,49561,69981,14.000,start
3480,50053,70006,7.000,start
3500,51741,70056,7.000,start
3506,51199,70082,10.500,start
3186,51895,70089,7.000,start
3515,51108,70113,7.000,start
3523,51013,70131,7.000,start
3557,51636,70215,7.000,start
3558,51643,70219,10.500,start
430,47075,70838,7.000,start
430,47073,70842,7.000,start
430,47074,70846,7.000,start
448,46933,70971,7.000,start
450,51093,70986,7.000,start
486,49525,71309,7.000,start
519,45997,71581,7.000,start
616,49533,72366,7.000,start
8,51971,73103,7.000,start
854,49511,74275,7.000,start
