tile,fixed_in_place,negative_s_before,negative_s_after,monotonic_issues_before,monotonic_issues_after,examples
tile_0_18.xodr,0,0,0,0,0,
tile_0_19.xodr,0,0,0,0,0,
tile_10_0.xodr,0,0,0,0,0,
tile_10_1.xodr,0,0,0,0,0,
tile_10_10.xodr,0,0,0,0,0,
tile_10_11.xodr,0,0,0,0,0,
tile_10_12.xodr,0,0,0,0,0,
tile_10_13.xodr,0,0,0,0,0,
tile_10_14.xodr,0,0,0,0,0,
tile_10_15.xodr,0,0,0,0,0,
tile_10_16.xodr,0,0,0,0,0,
tile_10_17.xodr,0,0,0,0,0,
tile_10_18.xodr,0,0,0,0,0,
tile_10_19.xodr,0,0,0,0,0,
tile_10_2.xodr,0,0,0,0,0,
tile_10_20.xodr,0,0,0,0,0,
tile_10_22.xodr,0,0,0,0,0,
tile_10_23.xodr,0,0,0,0,0,
tile_10_24.xodr,0,0,0,0,0,
tile_10_3.xodr,0,0,0,0,0,
tile_10_4.xodr,0,0,0,0,0,
tile_10_5.xodr,0,0,0,0,0,
tile_10_6.xodr,0,0,0,0,0,
tile_10_7.xodr,0,0,0,0,0,
tile_10_8.xodr,0,0,0,0,0,
tile_10_9.xodr,0,0,0,0,0,
tile_11_1.xodr,0,0,0,0,0,
tile_11_10.xodr,0,0,0,0,0,
tile_11_11.xodr,0,0,0,0,0,
tile_11_12.xodr,0,0,0,0,0,
tile_11_13.xodr,0,0,0,0,0,
tile_11_14.xodr,0,0,0,0,0,
tile_11_15.xodr,0,0,0,0,0,
tile_11_16.xodr,0,0,0,0,0,
tile_11_17.xodr,0,0,0,0,0,
tile_11_18.xodr,0,0,0,0,0,
tile_11_19.xodr,0,0,0,0,0,
tile_11_2.xodr,0,0,0,0,0,
tile_11_22.xodr,0,0,0,0,0,
tile_11_23.xodr,0,0,0,0,0,
tile_11_24.xodr,0,0,0,0,0,
tile_11_25.xodr,0,0,0,0,0,
tile_11_26.xodr,0,0,0,0,0,
tile_11_3.xodr,0,0,0,0,0,
tile_11_4.xodr,0,0,0,0,0,
tile_11_5.xodr,0,0,0,0,0,
tile_11_6.xodr,0,0,0,0,0,
tile_11_7.xodr,0,0,0,0,0,
tile_11_8.xodr,0,0,0,0,0,
tile_11_9.xodr,0,0,0,0,0,
tile_12_1.xodr,0,0,0,0,0,
tile_12_10.xodr,0,0,0,0,0,
tile_12_11.xodr,0,0,0,0,0,
tile_12_12.xodr,0,0,0,0,0,
tile_12_13.xodr,0,0,0,0,0,
tile_12_14.xodr,0,0,0,0,0,
tile_12_15.xodr,0,0,0,0,0,
tile_12_16.xodr,0,0,0,0,0,
tile_12_17.xodr,0,0,0,0,0,
tile_12_18.xodr,0,0,0,0,0,
tile_12_19.xodr,0,0,0,0,0,
tile_12_2.xodr,0,0,0,0,0,
tile_12_20.xodr,0,0,0,0,0,
tile_12_21.xodr,0,0,0,0,0,
tile_12_22.xodr,0,0,0,0,0,
tile_12_23.xodr,0,0,0,0,0,
tile_12_3.xodr,0,0,0,0,0,
tile_12_4.xodr,0,0,0,0,0,
tile_12_5.xodr,0,0,0,0,0,
tile_12_6.xodr,0,0,0,0,0,
tile_12_7.xodr,0,0,0,0,0,
tile_12_8.xodr,0,0,0,0,0,
tile_12_9.xodr,0,0,0,0,0,
tile_13_10.xodr,0,0,0,0,0,
tile_13_11.xodr,0,0,0,0,0,
tile_13_12.xodr,0,0,0,0,0,
tile_13_13.xodr,0,0,0,0,0,
tile_13_14.xodr,0,0,0,0,0,
tile_13_15.xodr,0,0,0,0,0,
tile_13_16.xodr,0,0,0,0,0,
tile_13_17.xodr,0,0,0,0,0,
tile_13_18.xodr,0,0,0,0,0,
tile_13_19.xodr,0,0,0,0,0,
tile_13_2.xodr,0,0,0,0,0,
tile_13_20.xodr,0,0,0,0,0,
tile_13_21.xodr,0,0,0,0,0,
tile_13_22.xodr,0,0,0,0,0,
tile_13_23.xodr,0,0,0,0,0,
tile_13_24.xodr,0,0,0,0,0,
tile_13_3.xodr,0,0,0,0,0,
tile_13_4.xodr,0,0,0,0,0,
tile_13_5.xodr,0,0,0,0,0,
tile_13_6.xodr,0,0,0,0,0,
tile_13_7.xodr,0,0,0,0,0,
tile_13_8.xodr,0,0,0,0,0,
tile_13_9.xodr,0,0,0,0,0,
tile_14_10.xodr,0,0,0,0,0,
tile_14_11.xodr,0,0,0,0,0,
tile_14_12.xodr,0,0,0,0,0,
tile_14_13.xodr,0,0,0,0,0,
tile_14_14.xodr,0,0,0,0,0,
tile_14_15.xodr,0,0,0,0,0,
tile_14_16.xodr,0,0,0,0,0,
tile_14_17.xodr,0,0,0,0,0,
tile_14_18.xodr,0,0,0,0,0,
tile_14_19.xodr,0,0,0,0,0,
tile_14_2.xodr,0,0,0,0,0,
tile_14_20.xodr,0,0,0,0,0,
tile_14_21.xodr,0,0,0,0,0,
tile_14_22.xodr,0,0,0,0,0,
tile_14_23.xodr,0,0,0,0,0,
tile_14_24.xodr,0,0,0,0,0,
tile_14_3.xodr,0,0,0,0,0,
tile_14_4.xodr,0,0,0,0,0,
tile_14_5.xodr,0,0,0,0,0,
tile_14_6.xodr,0,0,0,0,0,
tile_14_7.xodr,0,0,0,0,0,
tile_14_8.xodr,0,0,0,0,0,
tile_14_9.xodr,0,0,0,0,0,
tile_15_1.xodr,0,0,0,0,0,
tile_15_10.xodr,0,0,0,0,0,
tile_15_11.xodr,0,0,0,0,0,
tile_15_12.xodr,0,0,0,0,0,
tile_15_13.xodr,0,0,0,0,0,
tile_15_14.xodr,0,0,0,0,0,
tile_15_15.xodr,0,0,0,0,0,
tile_15_16.xodr,0,0,0,0,0,
tile_15_17.xodr,0,0,0,0,0,
tile_15_18.xodr,0,0,0,0,0,
tile_15_19.xodr,0,0,0,0,0,
tile_15_2.xodr,0,0,0,0,0,
tile_15_20.xodr,0,0,0,0,0,
tile_15_21.xodr,0,0,0,0,0,
tile_15_22.xodr,0,0,0,0,0,
tile_15_23.xodr,0,0,0,0,0,
tile_15_24.xodr,0,0,0,0,0,
tile_15_25.xodr,0,0,0,0,0,
tile_15_3.xodr,0,0,0,0,0,
tile_15_4.xodr,0,0,0,0,0,
tile_15_5.xodr,0,0,0,0,0,
tile_15_6.xodr,0,0,0,0,0,
tile_15_7.xodr,0,0,0,0,0,
tile_15_8.xodr,0,0,0,0,0,
tile_15_9.xodr,0,0,0,0,0,
tile_16_10.xodr,0,0,0,0,0,
tile_16_11.xodr,0,0,0,0,0,
tile_16_12.xodr,0,0,0,0,0,
tile_16_13.xodr,0,0,0,0,0,
tile_16_14.xodr,0,0,0,0,0,
tile_16_15.xodr,0,0,0,0,0,
tile_16_16.xodr,0,0,0,0,0,
tile_16_17.xodr,0,0,0,0,0,
tile_16_18.xodr,0,0,0,0,0,
tile_16_19.xodr,0,0,0,0,0,
tile_16_20.xodr,0,0,0,0,0,
tile_16_21.xodr,0,0,0,0,0,
tile_16_22.xodr,0,0,0,0,0,
tile_16_23.xodr,0,0,0,0,0,
tile_16_24.xodr,0,0,0,0,0,
tile_16_25.xodr,0,0,0,0,0,
tile_16_3.xodr,0,0,0,0,0,
tile_16_4.xodr,0,0,0,0,0,
tile_16_5.xodr,0,0,0,0,0,
tile_16_6.xodr,0,0,0,0,0,
tile_16_7.xodr,0,0,0,0,0,
tile_16_8.xodr,0,0,0,0,0,
tile_16_9.xodr,0,0,0,0,0,
tile_17_10.xodr,0,0,0,0,0,
tile_17_11.xodr,0,0,0,0,0,
tile_17_12.xodr,0,0,0,0,0,
tile_17_13.xodr,0,0,0,0,0,
tile_17_14.xodr,0,0,0,0,0,
tile_17_15.xodr,0,0,0,0,0,
tile_17_16.xodr,0,0,0,0,0,
tile_17_17.xodr,0,0,0,0,0,
tile_17_18.xodr,0,0,0,0,0,
tile_17_19.xodr,0,0,0,0,0,
tile_17_2.xodr,0,0,0,0,0,
tile_17_20.xodr,0,0,0,0,0,
tile_17_21.xodr,0,0,0,0,0,
tile_17_22.xodr,0,0,0,0,0,
tile_17_23.xodr,0,0,0,0,0,
tile_17_24.xodr,0,0,0,0,0,
tile_17_25.xodr,0,0,0,0,0,
tile_17_26.xodr,0,0,0,0,0,
tile_17_27.xodr,0,0,0,0,0,
tile_17_28.xodr,0,0,0,0,0,
tile_17_3.xodr,0,0,0,0,0,
tile_17_4.xodr,0,0,0,0,0,
tile_17_5.xodr,0,0,0,0,0,
tile_17_6.xodr,0,0,0,0,0,
tile_17_7.xodr,0,0,0,0,0,
tile_17_8.xodr,0,0,0,0,0,
tile_17_9.xodr,0,0,0,0,0,
tile_18_10.xodr,0,0,0,0,0,
tile_18_11.xodr,0,0,0,0,0,
tile_18_12.xodr,0,0,0,0,0,
tile_18_13.xodr,0,0,0,0,0,
tile_18_14.xodr,0,0,0,0,0,
tile_18_15.xodr,0,0,0,0,0,
tile_18_16.xodr,0,0,0,0,0,
tile_18_17.xodr,0,0,0,0,0,
tile_18_18.xodr,0,0,0,0,0,
tile_18_19.xodr,0,0,0,0,0,
tile_18_2.xodr,0,0,0,0,0,
tile_18_20.xodr,0,0,0,0,0,
tile_18_22.xodr,0,0,0,0,0,
tile_18_23.xodr,0,0,0,0,0,
tile_18_24.xodr,0,0,0,0,0,
tile_18_25.xodr,0,0,0,0,0,
tile_18_3.xodr,0,0,0,0,0,
tile_18_4.xodr,0,0,0,0,0,
tile_18_5.xodr,0,0,0,0,0,
tile_18_6.xodr,0,0,0,0,0,
tile_18_7.xodr,0,0,0,0,0,
tile_18_8.xodr,0,0,0,0,0,
tile_18_9.xodr,0,0,0,0,0,
tile_19_1.xodr,0,0,0,0,0,
tile_19_10.xodr,0,0,0,0,0,
tile_19_11.xodr,0,0,0,0,0,
tile_19_12.xodr,0,0,0,0,0,
tile_19_13.xodr,0,0,0,0,0,
tile_19_14.xodr,0,0,0,0,0,
tile_19_15.xodr,0,0,0,0,0,
tile_19_17.xodr,0,0,0,0,0,
tile_19_18.xodr,0,0,0,0,0,
tile_19_19.xodr,0,0,0,0,0,
tile_19_2.xodr,0,0,0,0,0,
tile_19_20.xodr,0,0,0,0,0,
tile_19_21.xodr,0,0,0,0,0,
tile_19_22.xodr,0,0,0,0,0,
tile_19_23.xodr,0,0,0,0,0,
tile_19_24.xodr,0,0,0,0,0,
tile_19_25.xodr,0,0,0,0,0,
tile_19_26.xodr,0,0,0,0,0,
tile_19_27.xodr,0,0,0,0,0,
tile_19_3.xodr,0,0,0,0,0,
tile_19_4.xodr,0,0,0,0,0,
tile_19_5.xodr,0,0,0,0,0,
tile_19_6.xodr,0,0,0,0,0,
tile_19_7.xodr,0,0,0,0,0,
tile_19_8.xodr,0,0,0,0,0,
tile_19_9.xodr,0,0,0,0,0,
tile_1_10.xodr,0,0,0,0,0,
tile_1_11.xodr,0,0,0,0,0,
tile_1_13.xodr,0,0,0,0,0,
tile_1_16.xodr,0,0,0,0,0,
tile_1_17.xodr,0,0,0,0,0,
tile_1_18.xodr,0,0,0,0,0,
tile_1_19.xodr,0,0,0,0,0,
tile_1_22.xodr,0,0,0,0,0,
tile_1_23.xodr,0,0,0,0,0,
tile_20_1.xodr,0,0,0,0,0,
tile_20_10.xodr,0,0,0,0,0,
tile_20_11.xodr,0,0,0,0,0,
tile_20_12.xodr,0,0,0,0,0,
tile_20_13.xodr,0,0,0,0,0,
tile_20_14.xodr,0,0,0,0,0,
tile_20_15.xodr,0,0,0,0,0,
tile_20_17.xodr,0,0,0,0,0,
tile_20_18.xodr,0,0,0,0,0,
tile_20_19.xodr,0,0,0,0,0,
tile_20_2.xodr,0,0,0,0,0,
tile_20_20.xodr,0,0,0,0,0,
tile_20_21.xodr,0,0,0,0,0,
tile_20_22.xodr,0,0,0,0,0,
tile_20_23.xodr,0,0,0,0,0,
tile_20_24.xodr,0,0,0,0,0,
tile_20_25.xodr,0,0,0,0,0,
tile_20_26.xodr,0,0,0,0,0,
tile_20_27.xodr,0,0,0,0,0,
tile_20_3.xodr,0,0,0,0,0,
tile_20_4.xodr,0,0,0,0,0,
tile_20_5.xodr,0,0,0,0,0,
tile_20_6.xodr,0,0,0,0,0,
tile_20_7.xodr,0,0,0,0,0,
tile_20_8.xodr,0,0,0,0,0,
tile_20_9.xodr,0,0,0,0,0,
tile_21_1.xodr,0,0,0,0,0,
tile_21_10.xodr,0,0,0,0,0,
tile_21_11.xodr,0,0,0,0,0,
tile_21_12.xodr,0,0,0,0,0,
tile_21_13.xodr,0,0,0,0,0,
tile_21_14.xodr,0,0,0,0,0,
tile_21_15.xodr,0,0,0,0,0,
tile_21_17.xodr,0,0,0,0,0,
tile_21_18.xodr,0,0,0,0,0,
tile_21_19.xodr,0,0,0,0,0,
tile_21_2.xodr,0,0,0,0,0,
tile_21_20.xodr,0,0,0,0,0,
tile_21_21.xodr,0,0,0,0,0,
tile_21_22.xodr,0,0,0,0,0,
tile_21_23.xodr,0,0,0,0,0,
tile_21_24.xodr,0,0,0,0,0,
tile_21_25.xodr,0,0,0,0,0,
tile_21_26.xodr,0,0,0,0,0,
tile_21_27.xodr,0,0,0,0,0,
tile_21_3.xodr,0,0,0,0,0,
tile_21_4.xodr,0,0,0,0,0,
tile_21_5.xodr,0,0,0,0,0,
tile_21_6.xodr,0,0,0,0,0,
tile_21_7.xodr,0,0,0,0,0,
tile_21_8.xodr,0,0,0,0,0,
tile_21_9.xodr,0,0,0,0,0,
tile_22_10.xodr,0,0,0,0,0,
tile_22_11.xodr,0,0,0,0,0,
tile_22_12.xodr,0,0,0,0,0,
tile_22_13.xodr,0,0,0,0,0,
tile_22_14.xodr,0,0,0,0,0,
tile_22_15.xodr,0,0,0,0,0,
tile_22_16.xodr,0,0,0,0,0,
tile_22_17.xodr,0,0,0,0,0,
tile_22_18.xodr,0,0,0,0,0,
tile_22_19.xodr,0,0,0,0,0,
tile_22_2.xodr,0,0,0,0,0,
tile_22_20.xodr,0,0,0,0,0,
tile_22_21.xodr,0,0,0,0,0,
tile_22_24.xodr,0,0,0,0,0,
tile_22_25.xodr,0,0,0,0,0,
tile_22_26.xodr,0,0,0,0,0,
tile_22_3.xodr,0,0,0,0,0,
tile_22_4.xodr,0,0,0,0,0,
tile_22_5.xodr,0,0,0,0,0,
tile_22_6.xodr,0,0,0,0,0,
tile_22_7.xodr,0,0,0,0,0,
tile_22_8.xodr,0,0,0,0,0,
tile_22_9.xodr,0,0,0,0,0,
tile_23_10.xodr,0,0,0,0,0,
tile_23_11.xodr,0,0,0,0,0,
tile_23_12.xodr,0,0,0,0,0,
tile_23_13.xodr,0,0,0,0,0,
tile_23_18.xodr,0,0,0,0,0,
tile_23_19.xodr,0,0,0,0,0,
tile_23_20.xodr,0,0,0,0,0,
tile_23_21.xodr,0,0,0,0,0,
tile_23_24.xodr,0,0,0,0,0,
tile_23_25.xodr,0,0,0,0,0,
tile_23_3.xodr,0,0,0,0,0,
tile_23_4.xodr,0,0,0,0,0,
tile_23_5.xodr,0,0,0,0,0,
tile_23_6.xodr,0,0,0,0,0,
tile_23_7.xodr,0,0,0,0,0,
tile_23_8.xodr,0,0,0,0,0,
tile_23_9.xodr,0,0,0,0,0,
tile_24_0.xodr,0,0,0,0,0,
tile_24_1.xodr,0,0,0,0,0,
tile_24_10.xodr,0,0,0,0,0,
tile_24_11.xodr,0,0,0,0,0,
tile_24_12.xodr,0,0,0,0,0,
tile_24_19.xodr,0,0,0,0,0,
tile_24_2.xodr,0,0,0,0,0,
tile_24_20.xodr,0,0,0,0,0,
tile_24_21.xodr,0,0,0,0,0,
tile_24_24.xodr,0,0,0,0,0,
tile_24_25.xodr,0,0,0,0,0,
tile_24_3.xodr,0,0,0,0,0,
tile_24_4.xodr,0,0,0,0,0,
tile_24_5.xodr,0,0,0,0,0,
tile_24_6.xodr,0,0,0,0,0,
tile_24_7.xodr,0,0,0,0,0,
tile_24_8.xodr,0,0,0,0,0,
tile_24_9.xodr,0,0,0,0,0,
tile_25_0.xodr,0,0,0,0,0,
tile_25_1.xodr,0,0,0,0,0,
tile_25_10.xodr,0,0,0,0,0,
tile_25_11.xodr,0,0,0,0,0,
tile_25_19.xodr,0,0,0,0,0,
tile_25_2.xodr,0,0,0,0,0,
tile_25_20.xodr,0,0,0,0,0,
tile_25_3.xodr,0,0,0,0,0,
tile_25_4.xodr,0,0,0,0,0,
tile_25_5.xodr,0,0,0,0,0,
tile_25_6.xodr,0,0,0,0,0,
tile_25_7.xodr,0,0,0,0,0,
tile_25_8.xodr,0,0,0,0,0,
tile_25_9.xodr,0,0,0,0,0,
tile_26_0.xodr,0,0,0,0,0,
tile_26_1.xodr,0,0,0,0,0,
tile_26_2.xodr,0,0,0,0,0,
tile_26_3.xodr,0,0,0,0,0,
tile_26_4.xodr,0,0,0,0,0,
tile_26_5.xodr,0,0,0,0,0,
tile_26_6.xodr,0,0,0,0,0,
tile_26_7.xodr,0,0,0,0,0,
tile_26_8.xodr,0,0,0,0,0,
tile_2_10.xodr,0,0,0,0,0,
tile_2_11.xodr,0,0,0,0,0,
tile_2_12.xodr,0,0,0,0,0,
tile_2_13.xodr,0,0,0,0,0,
tile_2_14.xodr,0,0,0,0,0,
tile_2_15.xodr,0,0,0,0,0,
tile_2_16.xodr,0,0,0,0,0,
tile_2_17.xodr,0,0,0,0,0,
tile_2_18.xodr,0,0,0,0,0,
tile_2_19.xodr,0,0,0,0,0,
tile_2_22.xodr,0,0,0,0,0,
tile_2_23.xodr,0,0,0,0,0,
tile_2_5.xodr,0,0,0,0,0,
tile_3_0.xodr,0,0,0,0,0,
tile_3_1.xodr,0,0,0,0,0,
tile_3_10.xodr,0,0,0,0,0,
tile_3_11.xodr,0,0,0,0,0,
tile_3_12.xodr,0,0,0,0,0,
tile_3_13.xodr,0,0,0,0,0,
tile_3_15.xodr,0,0,0,0,0,
tile_3_17.xodr,0,0,0,0,0,
tile_3_18.xodr,0,0,0,0,0,
tile_3_19.xodr,0,0,0,0,0,
tile_3_20.xodr,0,0,0,0,0,
tile_3_21.xodr,0,0,0,0,0,
tile_3_22.xodr,0,0,0,0,0,
tile_3_23.xodr,0,0,0,0,0,
tile_3_3.xodr,0,0,0,0,0,
tile_3_5.xodr,0,0,0,0,0,
tile_3_6.xodr,0,0,0,0,0,
tile_4_0.xodr,0,0,0,0,0,
tile_4_1.xodr,0,0,0,0,0,
tile_4_11.xodr,0,0,0,0,0,
tile_4_12.xodr,0,0,0,0,0,
tile_4_13.xodr,0,0,0,0,0,
tile_4_14.xodr,0,0,0,0,0,
tile_4_15.xodr,0,0,0,0,0,
tile_4_17.xodr,0,0,0,0,0,
tile_4_18.xodr,0,0,0,0,0,
tile_4_19.xodr,0,0,0,0,0,
tile_4_2.xodr,0,0,0,0,0,
tile_4_20.xodr,0,0,0,0,0,
tile_4_21.xodr,0,0,0,0,0,
tile_4_22.xodr,0,0,0,0,0,
